127.0.0.1 - - [17/Jul/2019:13:36:07 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [17/Jul/2019:13:36:08 +0900] "GET /book_html/class_link/link3/burgerking.html HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [17/Jul/2019:13:36:08 +0900] "GET /image/burger2.png HTTP/1.1" 200 62001
0:0:0:0:0:0:0:1 - - [17/Jul/2019:13:36:08 +0900] "GET /image/burger1.png HTTP/1.1" 200 45767
0:0:0:0:0:0:0:1 - - [17/Jul/2019:13:36:08 +0900] "GET /image/side1.png HTTP/1.1" 200 231030
0:0:0:0:0:0:0:1 - - [17/Jul/2019:13:36:08 +0900] "GET /image/potato.png HTTP/1.1" 200 31311
0:0:0:0:0:0:0:1 - - [17/Jul/2019:13:36:10 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [17/Jul/2019:13:40:33 +0900] "GET /book_html/class_audio/MusicBox.html HTTP/1.1" 200 2282
0:0:0:0:0:0:0:1 - - [17/Jul/2019:13:40:33 +0900] "GET /image/bach.jpg HTTP/1.1" 200 9553
0:0:0:0:0:0:0:1 - - [17/Jul/2019:13:40:33 +0900] "GET /image/handel.jpg HTTP/1.1" 200 8840
0:0:0:0:0:0:0:1 - - [17/Jul/2019:13:40:34 +0900] "GET /c0723_audio/bach.mp3 HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [17/Jul/2019:13:40:34 +0900] "GET /audio/handel.mp3 HTTP/1.1" 206 2490327
